name	biotype_group
IG_C_gene	coding
IG_D_gene	coding
IG_J_gene	coding
IG_LV_gene	coding
IG_M_gene	coding
IG_V_gene	coding
IG_Z_gene	coding
nonsense_mediated_decay	coding
nontranslating_CDS	coding
non_stop_decay	coding
polymorphic_pseudogene	coding
protein_coding	coding
TR_C_gene	coding
TR_D_gene	coding
TR_gene	coding
TR_J_gene	coding
TR_V_gene	coding
disrupted_domain	pseudogene
IG_C_pseudogene	pseudogene
IG_J_pseudogene	pseudogene
IG_pseudogene	pseudogene
IG_V_pseudogene	pseudogene
processed_pseudogene	pseudogene
pseudogene	pseudogene
transcribed_processed_pseudogene	pseudogene
transcribed_unprocessed_pseudogene	pseudogene
translated_processed_pseudogene	pseudogene
translated_unprocessed_pseudogene	pseudogene
TR_J_pseudogene	pseudogene
TR_V_pseudogene	pseudogene
unitary_pseudogene	pseudogene
unprocessed_pseudogene	pseudogene
miRNA	snoncoding
miRNA_pseudogene	snoncoding
misc_RNA	snoncoding
misc_RNA_pseudogene	snoncoding
Mt_rRNA	snoncoding
Mt_tRNA	snoncoding
Mt_tRNA_pseudogene	snoncoding
ncRNA	snoncoding
pre_miRNA	snoncoding
rRNA	snoncoding
rRNA_pseudogene	snoncoding
scRNA_pseudogene	snoncoding
snlRNA	snoncoding
snoRNA	snoncoding
snoRNA_pseudogene	snoncoding
snRNA	snoncoding
snRNA_pseudogene	snoncoding
tRNA	snoncoding
tRNA_pseudogene	snoncoding
3prime_overlapping_ncrna	lnoncoding
ambiguous_orf	lnoncoding
antisense	lnoncoding
lincRNA	lnoncoding
ncrna_host	lnoncoding
non_coding	lnoncoding
processed_transcript	lnoncoding
retained_intron	lnoncoding
sense_intronic	lnoncoding
sense_overlapping	lnoncoding
LRG_gene	undefined
ribozyme	undefined
RNase_MRP_RNA	undefined
RNase_P_RNA	undefined
SRP_RNA	undefined
TEC	undefined
tmRNA	undefined
