GO_ID	bias_source
GO:0044454	very_high_GC
GO:0044427	very_high_GC
GO:0000785	very_high_GC
GO:0000228	very_high_GC
GO:0000790	very_high_GC
GO:0000981	very_high_GC
GO:0003700	very_high_GC
BDNF%IOB%BDNF	very_long
NABA_COLLAGENS%MSIGDB_C2%NABA_COLLAGENS	very_long
PID_RHOA_REG_PATHWAY%MSIGDB_C2%PID_RHOA_REG_PATHWAY	very_long
PID_THROMBIN_PAR1_PATHWAY%MSIGDB_C2%PID_THROMBIN_PAR1_PATHWAY	very_long
BIOCARTA_CCR3_PATHWAY%MSIGDB_C2%BIOCARTA_CCR3_PATHWAY	very_long
PID_RAC1_REG_PATHWAY%MSIGDB_C2%PID_RAC1_REG_PATHWAY	very_long
BIOCARTA_CXCR4_PATHWAY%MSIGDB_C2%BIOCARTA_CXCR4_PATHWAY	very_long
NABA_CORE_MATRISOME%MSIGDB_C2%NABA_CORE_MATRISOME	very_long
BIOCARTA_AGR_PATHWAY%MSIGDB_C2%BIOCARTA_AGR_PATHWAY	very_long
HALLMARK_UV_RESPONSE_DN%MSIGDB_C2%HALLMARK_UV_RESPONSE_DN	very_long
REGULATION OF RAC1 ACTIVITY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RAC1 ACTIVITY	very_long
PAR1-MEDIATED THROMBIN SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%PAR1-MEDIATED THROMBIN SIGNALING EVENTS	very_long
REGULATION OF RHOA ACTIVITY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF RHOA ACTIVITY	very_long
5HT2 TYPE RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04374	very_long
ALZHEIMER DISEASE-AMYLOID SECRETASE PATHWAY%PANTHER PATHWAY%P00003	very_long
GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959	very_long
UNTITLED%PANTHER PATHWAY%P00019	very_long
HETEROTRIMERIC G-PROTEIN SIGNALING PATHWAY-GQ ALPHA AND GO ALPHA MEDIATED PATHWAY%PANTHER PATHWAY%P00027	very_long
HISTAMINE H1 RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04385	very_long
IONOTROPIC GLUTAMATE RECEPTOR PATHWAY%PANTHER PATHWAY%P00037	very_long
METABOTROPIC GLUTAMATE RECEPTOR GROUP III PATHWAY%PANTHER PATHWAY%P00039	very_long
METABOTROPIC GLUTAMATE RECEPTOR GROUP I PATHWAY%PANTHER PATHWAY%P00041	very_long
MUSCARINIC ACETYLCHOLINE RECEPTOR 1 AND 3 SIGNALING PATHWAY%PANTHER PATHWAY%P00042	very_long
OXYTOCIN RECEPTOR MEDIATED SIGNALING PATHWAY%PANTHER PATHWAY%P04391	very_long
PDGF SIGNALING PATHWAY%PANTHER PATHWAY%P00047	very_long
THYROTROPIN-RELEASING HORMONE RECEPTOR SIGNALING PATHWAY%PANTHER PATHWAY%P04394	very_long
WNT SIGNALING PATHWAY%PANTHER PATHWAY%P00057	very_long
PLATELET HOMEOSTASIS%REACTOME DATABASE ID RELEASE 70%418346	very_long
COLLAGEN CHAIN TRIMERIZATION%REACTOME DATABASE ID RELEASE 70%8948216	very_long
ION CHANNEL TRANSPORT%REACTOME%R-HSA-983712.2	very_long
HEPARAN SULFATE HEPARIN (HS-GAG) METABOLISM%REACTOME%R-HSA-1638091.1	very_long
EFFECTS OF PIP2 HYDROLYSIS%REACTOME%R-HSA-114508.2	very_long
CELL-CELL COMMUNICATION%REACTOME DATABASE ID RELEASE 70%1500931	very_long
CELL-CELL JUNCTION ORGANIZATION%REACTOME DATABASE ID RELEASE 70%421270	very_long
POTASSIUM CHANNELS%REACTOME%R-HSA-1296071.1	very_long
RHO GTPASE CYCLE%REACTOME%R-HSA-194840.3	very_long
INTEGRATION OF ENERGY METABOLISM%REACTOME DATABASE ID RELEASE 70%163685	very_long
NEUREXINS AND NEUROLIGINS%REACTOME DATABASE ID RELEASE 70%6794361	very_long
VOLTAGE GATED POTASSIUM CHANNELS%REACTOME%R-HSA-1296072.1	very_long
NEURONAL SYSTEM%REACTOME%R-HSA-112316.6	very_long
UNBLOCKING OF NMDA RECEPTORS, GLUTAMATE BINDING AND ACTIVATION%REACTOME%R-HSA-438066.3	very_long
SIGNALING BY RECEPTOR TYROSINE KINASES%REACTOME DATABASE ID RELEASE 70%9006934	very_long
MUSCLE CONTRACTION%REACTOME DATABASE ID RELEASE 70%397014	very_long
OPIOID SIGNALLING%REACTOME DATABASE ID RELEASE 70%111885	very_long
CARDIAC CONDUCTION%REACTOME%R-HSA-5576891.2	very_long
DEFECTIVE B3GALTL CAUSES PETERS-PLUS SYNDROME (PPS)%REACTOME%R-HSA-5083635.1	very_long
CGMP EFFECTS%REACTOME%R-HSA-418457.1	very_long
O-LINKED GLYCOSYLATION%REACTOME DATABASE ID RELEASE 70%5173105	very_long
TRANSMISSION ACROSS CHEMICAL SYNAPSES%REACTOME%R-HSA-112315.5	very_long
SIGNALING BY RHO GTPASES%REACTOME%R-HSA-194315.4	very_long
NITRIC OXIDE STIMULATES GUANYLATE CYCLASE%REACTOME DATABASE ID RELEASE 70%392154	very_long
ADHERENS JUNCTIONS INTERACTIONS%REACTOME%R-HSA-418990.2	very_long
PHASE 0 - RAPID DEPOLARISATION%REACTOME DATABASE ID RELEASE 70%5576892	very_long
DAG AND IP3 SIGNALING%REACTOME DATABASE ID RELEASE 70%1489509	very_long
CELL JUNCTION ORGANIZATION%REACTOME%R-HSA-446728.2	very_long
PLC BETA MEDIATED EVENTS%REACTOME DATABASE ID RELEASE 70%112043	very_long
REGULATION OF INSULIN SECRETION%REACTOME%R-HSA-422356.3	very_long
DISEASES ASSOCIATED WITH O-GLYCOSYLATION OF PROTEINS%REACTOME DATABASE ID RELEASE 70%3906995	very_long
G-PROTEIN MEDIATED EVENTS%REACTOME%R-HSA-112040.1	very_long
STIMULI-SENSING CHANNELS%REACTOME%R-HSA-2672351.3	very_long
O-GLYCOSYLATION OF TSR DOMAIN-CONTAINING PROTEINS%REACTOME DATABASE ID RELEASE 70%5173214	very_long
HS-GAG BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 70%2022928	very_long
ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS%REACTOME DATABASE ID RELEASE 70%442755	very_long
NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION%REACTOME DATABASE ID RELEASE 70%112314	very_long
PROTEIN-PROTEIN INTERACTIONS AT SYNAPSES%REACTOME%R-HSA-6794362.4	very_long
NETRIN-1 SIGNALING%REACTOME%R-HSA-373752.2	very_long
ARRHYTHMOGENIC RIGHT VENTRICULAR CARDIOMYOPATHY%WIKIPATHWAYS_20190910%WP2118%HOMO SAPIENS	very_long
G PROTEIN SIGNALING PATHWAYS%WIKIPATHWAYS_20190910%WP35%HOMO SAPIENS	very_long
ECTODERM DIFFERENTIATION%WIKIPATHWAYS_20190910%WP2858%HOMO SAPIENS	very_long
SYNAPTIC SIGNALING PATHWAYS ASSOCIATED WITH AUTISM SPECTRUM DISORDER%WIKIPATHWAYS_20190910%WP4539%HOMO SAPIENS	very_long
FRAGILE X SYNDROME %WIKIPATHWAYS_20190910%WP4549%HOMO SAPIENS	very_long
SPLICING FACTOR NOVA REGULATED SYNAPTIC PROTEINS%WIKIPATHWAYS_20190910%WP4148%HOMO SAPIENS	very_long
PATHWAYS REGULATING HIPPO SIGNALING%WIKIPATHWAYS_20190910%WP4540%HOMO SAPIENS	very_long
COMMON PATHWAYS UNDERLYING DRUG ADDICTION%WIKIPATHWAYS_20190910%WP2636%HOMO SAPIENS	very_long
MYOMETRIAL RELAXATION AND CONTRACTION PATHWAYS%WIKIPATHWAYS_20190910%WP289%HOMO SAPIENS	very_long
PHOSPHODIESTERASES IN NEURONAL FUNCTION%WIKIPATHWAYS_20190910%WP4222%HOMO SAPIENS	very_long
CALCIUM REGULATION IN THE CARDIAC CELL%WIKIPATHWAYS_20190910%WP536%HOMO SAPIENS	very_long
GO:0055074	very_long
GO:0043266	very_long
GO:0098660	very_long
GO:0098662	very_long
GO:0090109	very_long
GO:0050808	very_long
GO:0000904	very_long
GO:1901016	very_long
GO:0002028	very_long
GO:0120035	very_long
GO:2000310	very_long
GO:0032535	very_long
GO:0006874	very_long
GO:1903522	very_long
GO:0007215	very_long
GO:0051962	very_long
GO:1904646	very_long
GO:0042330	very_long
GO:0090257	very_long
GO:0050807	very_long
GO:0045216	very_long
GO:0032409	very_long
GO:1900006	very_long
GO:0044057	very_long
GO:0098742	very_long
GO:0006942	very_long
GO:2000649	very_long
GO:0010810	very_long
GO:0042391	very_long
GO:0031175	very_long
GO:0050954	very_long
GO:0048858	very_long
GO:0032413	very_long
GO:0008361	very_long
GO:0051056	very_long
GO:0050890	very_long
GO:0086065	very_long
GO:0010769	very_long
GO:0060401	very_long
GO:0048639	very_long
GO:0051703	very_long
GO:0006941	very_long
GO:0050806	very_long
GO:0051899	very_long
GO:0007204	very_long
GO:0050767	very_long
GO:0060402	very_long
GO:0097553	very_long
GO:0035637	very_long
GO:0048666	very_long
GO:0050770	very_long
GO:0072507	very_long
GO:2000463	very_long
GO:0022604	very_long
GO:0070252	very_long
GO:0000902	very_long
GO:0050803	very_long
GO:0003015	very_long
GO:0007507	very_long
GO:0032414	very_long
GO:0048667	very_long
GO:0048812	very_long
GO:0034329	very_long
GO:0007269	very_long
GO:0007420	very_long
GO:1904062	very_long
GO:0008016	very_long
GO:2001259	very_long
GO:1902667	very_long
GO:0099536	very_long
GO:0070588	very_long
GO:0006470	very_long
GO:0097485	very_long
GO:0034765	very_long
GO:0086001	very_long
GO:0050922	very_long
GO:0032410	very_long
GO:0045666	very_long
GO:0061061	very_long
GO:0098655	very_long
GO:0030048	very_long
GO:0043087	very_long
GO:1901019	very_long
GO:0031346	very_long
GO:1901379	very_long
GO:0040013	very_long
GO:0048589	very_long
GO:0050804	very_long
GO:0060048	very_long
GO:0031644	very_long
