gene_id	gene_name	chromosome	start	end	strand	biotype	biotype_family	length	GC_content	no_of_transcripts
YDL248W	COS7	IV	1802	2953	+	protein_coding	coding	1151	0.381	1
YDL247W-A		IV	3762	3836	+	protein_coding	coding	74	0.311	1
YDL247W	MPH2	IV	5985	7814	+	protein_coding	coding	1829	0.406	1
YDL246C	SOR2	IV	8683	9756	-	protein_coding	coding	1073	0.448	1
YDL245C	HXT15	IV	11657	13360	-	protein_coding	coding	1703	0.419	1
YDL244W	THI13	IV	16204	17226	+	protein_coding	coding	1022	0.439	1
YDL243C	AAD4	IV	17577	18566	-	protein_coding	coding	989	0.411	1
YDL242W		IV	18959	19312	+	protein_coding	coding	353	0.391	1
YDL241W		IV	20635	21006	+	protein_coding	coding	371	0.394	1
YDL240C-A		IV	22471	22608	-	protein_coding	coding	137	0.358	1
YDL240W	LRG1	IV	22823	25876	+	protein_coding	coding	3053	0.368	1
YDL239C	ADY3	IV	26403	28775	-	protein_coding	coding	2372	0.342	1
YDL238C	GUD1	IV	28985	30454	-	protein_coding	coding	1469	0.429	1
YDL237W	AIM6	IV	30657	31829	+	protein_coding	coding	1172	0.387	1
YDL236W	PHO13	IV	32296	33234	+	protein_coding	coding	938	0.403	1
YDL235C	YPD1	IV	33415	33918	-	protein_coding	coding	503	0.356	1
YDL234C	GYP7	IV	34237	36477	-	protein_coding	coding	2240	0.381	1
YDL233W	MFG1	IV	36797	38173	+	protein_coding	coding	1376	0.422	1
YDL232W	OST4	IV	38487	38597	+	protein_coding	coding	110	0.418	1
YDL231C	BRE4	IV	38867	42244	-	protein_coding	coding	3377	0.397	1
YDL230W	PTP1	IV	42700	43707	+	protein_coding	coding	1007	0.452	1
YDL229W	SSB1	IV	44065	45906	+	protein_coding	coding	1841	0.436	1
YDL228C		IV	45277	45918	-	protein_coding	coding	641	0.435	1
YDL227C	HO	IV	46271	48031	-	protein_coding	coding	1760	0.409	1
YDL226C	GCS1	IV	51115	52173	-	protein_coding	coding	1058	0.438	1
YDL225W	SHS1	IV	52445	54100	+	protein_coding	coding	1655	0.379	1
YDL224C	WHI4	IV	54397	56346	-	protein_coding	coding	1949	0.404	1
YDL223C	HBT1	IV	57265	60405	-	protein_coding	coding	3140	0.426	1
YDL222C	FMP45	IV	60872	61801	-	protein_coding	coding	929	0.494	1
YDL221W		IV	62011	62562	+	protein_coding	coding	551	0.483	1
YDL220C	CDC13	IV	62244	65018	-	protein_coding	coding	2774	0.439	1
