GO_ID	bias_source
GO_BP_SC_VESICLE-MEDIATED_TRANSPORT_GO:0016192	chr_I
GO_BP_SC_REGULATION_OF_EXIT_FROM_MITOSIS_GO:0007096	chr_I
GO_MF_SC_GUANYL-NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY_GO:0005085	chr_I
GO_CC_SC_ER_TO_GOLGI_TRANSPORT_VESICLE_GO:0030134	chr_I
GO_BP_SC_ALLANTOIN_CATABOLIC_PROCESS_GO:0000256	chr_IX
GO_BP_SC_PURINE_NUCLEOBASE_METABOLIC_PROCESS_GO:0006144	chr_IX
GO_MF_SC_ELECTRON_CARRIER_ACTIVITY_GO:0009055	chr_Mito
GO_MF_SC_ENDONUCLEASE_ACTIVITY_GO:0004519	chr_Mito
GO_CC_SC_MITOCHONDRION_GO:0005739	chr_Mito
GO_MF_SC_CYTOCHROME-C_OXIDASE_ACTIVITY_GO:0004129	chr_Mito
GO_BP_SC_INTRON_HOMING_GO:0006314	chr_Mito
GO_BP_SC_AEROBIC_RESPIRATION_GO:0009060	chr_Mito
GO_BP_SC_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN_GO:0022904	chr_Mito
GO_MF_SC_HEME_BINDING_GO:0020037	chr_Mito
GO_BP_SC_MRNA_PROCESSING_GO:0006397	chr_Mito
GO_BP_SC_RNA_SPLICING_GO:0008380	chr_Mito
GO_MF_SC_IRON_ION_BINDING_GO:0005506	chr_Mito
GO_CC_SC_INTEGRAL_TO_MEMBRANE_GO:0016021	chr_Mito
GO_CC_SC_MITOCHONDRIAL_INNER_MEMBRANE_GO:0005743	chr_Mito
GO_BP_SC_OXIDATION-REDUCTION_PROCESS_GO:0055114	chr_Mito
GO_MF_SC_NUCLEASE_ACTIVITY_GO:0004518	chr_Mito
GO_CC_SC_PROTON-TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_FO_GO:0045263	chr_Mito
GO_CC_SC_MITOCHONDRIAL_PROTON-TRANSPORTING_ATP_SYNTHASE_COMPLEX_COUPLING_FACTOR_FO_GO:0000276	chr_Mito
GO_MF_SC_OXIDOREDUCTASE_ACTIVITY_GO:0016491	chr_Mito
GO_BP_SC_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN_GO:0006123	chr_Mito
GO_CC_SC_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_IV_GO:0005751	chr_Mito
GO_MF_SC_HYDROGEN_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY_GO:0015078	chr_Mito
GO_CC_SC_RESPIRATORY_CHAIN_GO:0070469	chr_Mito
GO_BP_SC_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT_GO:0015986	chr_Mito
GO_MF_SC_PROTON-TRANSPORTING_ATP_SYNTHASE_ACTIVITY_ROTATIONAL_MECHANISM_GO:0046933	chr_Mito
GO_MF_SC_PROTON-TRANSPORTING_ATPASE_ACTIVITY_ROTATIONAL_MECHANISM_GO:0046961	chr_Mito
GO_CC_SC_MEMBRANE_GO:0016020	chr_Mito
GO_BP_SC_PROTON_TRANSPORT_GO:0015992	chr_Mito
GO_BP_SC_ELECTRON_TRANSPORT_CHAIN_GO:0022900	chr_Mito
GO_MF_SC_DNA_BINDING_GO:0003677	chr_Mito
GO_BP_SC_ION_TRANSPORT_GO:0006811	chr_Mito
GO_MF_SC_HYDROLASE_ACTIVITY_GO:0016787	chr_Mito
GO_BP_SC_TRANSPORT_GO:0006810	chr_Mito
GO_MF_SC_RNA_BINDING_GO:0003723	chr_Mito
GO_BP_SC_CHROMOSOME_ORGANIZATION_GO:0051276	chr_VI
GO_BP_SC_RESPONSE_TO_STRESS_GO:0006950	high_GC
GO_CC_SC_CELL_WALL_GO:0005618	high_GC
GO_CC_SC_EXTRACELLULAR_REGION_GO:0005576	high_GC
GO_MF_SC_STRUCTURAL_CONSTITUENT_OF_CELL_WALL_GO:0005199	high_GC
GO_BP_SC_GLYCOLYSIS_GO:0006096	high_GC
GO_CC_SC_PHOSPHOPYRUVATE_HYDRATASE_COMPLEX_GO:0000015	high_GC
GO_MF_SC_PHOSPHOPYRUVATE_HYDRATASE_ACTIVITY_GO:0004634	high_GC
GO_CC_SC_ANCHORED_TO_MEMBRANE_GO:0031225	high_GC
GO_CC_SC_MITOCHONDRION_GO:0005739	high_GC
GO_BP_SC_OXIDATION-REDUCTION_PROCESS_GO:0055114	high_GC
GO_MF_SC_OXIDOREDUCTASE_ACTIVITY_GO:0016491	high_GC
GO_CC_SC_FUNGAL-TYPE_CELL_WALL_GO:0009277	high_GC
GO_CC_SC_MICROSOME_GO:0005792	high_GC
	long
GO_MF_SC_ATP_BINDING_GO:0005524	long
GO_MF_SC_BINDING_GO:0005488	long
GO_MF_SC_PROTEIN_BINDING_GO:0005515	long
GO_MF_SC_NUCLEOTIDE_BINDING_GO:0000166	long
GO_MF_SC_HELICASE_ACTIVITY_GO:0004386	long
GO_MF_SC_ATPASE_ACTIVITY_COUPLED_TO_TRANSMEMBRANE_MOVEMENT_OF_SUBSTANCES_GO:0042626	long
GO_MF_SC_NUCLEIC_ACID_BINDING_GO:0003676	long
GO_MF_SC_ATPASE_ACTIVITY_COUPLED_TO_TRANSMEMBRANE_MOVEMENT_OF_IONS_PHOSPHORYLATIVE_MECHANISM_GO:0015662	long
GO_MF_SC_ATPASE_ACTIVITY_GO:0016887	long
GO_MF_SC_NUCLEOSIDE-TRIPHOSPHATASE_ACTIVITY_GO:0017111	long
GO_MF_SC_HYDROLASE_ACID_ANHYDRIDES_CATALYZING_TRANSMEMBRANE_MOVEMENT_SUBSTANCES_GO:0016820	long
GO_MF_SC_DNA_BINDING_GO:0003677	long
GO_MF_SC_ATP-DEPENDENT_HELICASE_ACTIVITY_GO:0008026	long
GO_BP_SC_CATION_TRANSPORT_GO:0006812	long
GO_BP_SC_TELOMERE_MAINTENANCE_VIA_RECOMBINATION_GO:0000722	long
GO_BP_SC_ATP_CATABOLIC_PROCESS_GO:0006200	long
GO_CC_SC_NUCLEAR_PORE_GO:0005643	long
GO_BP_SC_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION_GO:0051056	long
GO_MF_SC_DNA_HELICASE_ACTIVITY_GO:0003678	long
GO_BP_SC_MRNA_TRANSPORT_GO:0051028	long
GO_MF_SC_TRANSFERASE_ACTIVITY_TRANSFERRING_PHOSPHORUS-CONTAINING_GROUPS_GO:0016772	long
GO_MF_SC_HYDROLASE_ACTIVITY_GO:0016787	long
GO_BP_SC_NUCLEOBASE-CONTAINING_COMPOUND_METABOLIC_PROCESS_GO:0006139	long
GO_BP_SC_TRNA_EXPORT_FROM_NUCLEUS_GO:0006409	long
GO_MF_SC_HYDROLASE_ACTIVITY_ACTING_ON_ACID_ANHYDRIDES_IN_PHOSPHORUS-CONTAINING_ANHYDRIDES_GO:0016818	long
GO_BP_SC_PROTEIN_IMPORT_INTO_NUCLEUS_GO:0006606	long
GO_BP_SC_INTRON_HOMING_GO:0006314	long
GO_MF_SC_MICROFILAMENT_MOTOR_ACTIVITY_GO:0000146	long
GO_CC_SC_CELLULAR_BUD_NECK_GO:0005935	long
GO_BP_SC_NLS-BEARING_SUBSTRATE_IMPORT_INTO_NUCLEUS_GO:0006607	long
GO_BP_SC_REGULATION_OF_CELL_SHAPE_GO:0008360	long
GO_BP_SC_NUCLEOCYTOPLASMIC_TRANSPORT_GO:0006913	long
GO_BP_SC_PROTEIN_EXPORT_FROM_NUCLEUS_GO:0006611	long
